Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0109640157768089,0.000492623729376907,-0.084462718499251,0,0,0,0.823204483067947,0.00372706365052021,5.86270457158886E-06,-0.000301211310958548,0.00575178012790414,2.7497577475686E-05,0.00517187155688837,0,0,0,0,0,0,package://bi_urdf/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://bi_urdf/meshes/base_link.STL,,baselink.step-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
orin_Link,-0.0240785203955764,0.0218925468990268,0.0572993923726463,0,0,0,0.447771927494703,0.000850695562273192,-1.0492595806798E-05,2.26395186862576E-06,0.000476950862820048,-1.9160698909189E-05,0.000497782396016059,0,0,0,0,0,0,package://bi_urdf/meshes/orin_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://bi_urdf/meshes/orin_Link.STL,,orin.step-1,Origin_orin,Axis_orin,orin,continuous,-0.0918148109842786,-0.0249000000000198,-0.117725,0,0,0,base_link,1,0,0,,,,,,,,,,,,
bat_Link,0.028603220993262,0.00223654967659978,0.0225139769080661,0,0,0,0.465920712109228,0.000351172010845836,3.77956681626995E-05,3.01369179157046E-07,0.000792506463020507,-2.98407939490564E-08,0.00100126864178481,0,0,0,0,0,0,package://bi_urdf/meshes/bat_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://bi_urdf/meshes/bat_Link.STL,,bat.step-1,Origin_bat,Axis_bat,bat,continuous,-0.0416148109842793,0,-0.179925,0,0,0,base_link,0,1,0,,,,,,,,,,,,
r_Link,-0.0207329638801623,1.43036990809392E-06,-3.15452312139863E-07,0,0,0,0.239686725821263,0.000247894308805229,-1.22989620397799E-10,-7.17804507670353E-11,0.000151213745179228,2.90691989266784E-09,0.000146724461162146,0,0,0,0,0,0,package://bi_urdf/meshes/r_Link.STL,1,1,0,1,0,0,0,0,0,0,package://bi_urdf/meshes/r_Link.STL,,r.step-1,Origin_r,Axis_r,r,continuous,-0.0535148109842786,-0.0562500000000304,-0.0547752717334899,0,0,0,base_link,1,0,0,,,,,,,,,,,,
rr_Link,0.0491388127104062,0.000834664871818637,-7.54761869205256E-07,0,0,0,0.263193504513572,0.000163895945250108,3.78138452950785E-07,8.05477200284944E-09,0.000303473509199758,2.90101845693919E-10,0.000195914260775117,0,0,0,0,0,0,package://bi_urdf/meshes/rr_Link.STL,0,1,0,1,0,0,0,0,0,0,package://bi_urdf/meshes/rr_Link.STL,,rr.step-1,Origin_rr,Axis_rr,rr,continuous,0,0,0,0,0,0,r_Link,1,0,0,,,,,,,,,,,,
rrr_Link,3.25170062886794E-05,-0.0372998727714175,6.30153280161139E-05,0,0,0,0.308179293380151,0.000230195263903704,-1.98097122095053E-07,1.24593116088357E-06,0.000329685437530996,1.42214986126607E-06,0.000242937296093341,0,0,0,0,0,0,package://bi_urdf/meshes/rrr_Link.STL,0,1,1,1,0,0,0,0,0,0,package://bi_urdf/meshes/rrr_Link.STL,,rrr.step-1,Origin_rrr,Axis_rrr,rrr,continuous,0.0532497748906444,-0.0144424855132765,0,0,0,0,rr_Link,0,1,0,,,,,,,,,,,,
ru_Link,-4.6504329824484E-05,-0.0131665143340305,-0.0665947634153334,0,0,0,0.129266759305584,0.000739881961797052,9.55853750495334E-08,-4.76186203409902E-07,0.000784933149066408,-1.33397575425962E-06,7.37917632566505E-05,0,0,0,0,0,0,package://bi_urdf/meshes/ru_Link.STL,0,0,1,1,0,0,0,0,0,0,package://bi_urdf/meshes/ru_Link.STL,,ru.step-1,Origin_ru,Axis_ru,ru,continuous,0,-0.0577075781855466,0,0,0,0,rrr_Link,0,1,0,,,,,,,,,,,,
rd_Link,2.27049242676532E-05,-0.0211920510989802,-0.152755733740314,0,0,0,0.18864072100371,0.00129841800830839,-3.08231934926013E-08,-6.38610003858353E-07,0.00131262045051003,-7.87447180952049E-05,7.665058778357E-05,0,0,0,0,0,0,package://bi_urdf/meshes/rd_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/rd_Link.STL,,rd.step-1,Origin_rd,Axis_rd,rd,continuous,0,0,-0.214999999999999,0,0,0,ru_Link,0,1,0,,,,,,,,,,,,
rw_Link,-2.61257369687726E-10,-0.0151977047581138,2.52737977213258E-08,0,0,0,0.263040907590512,0.000430628746930418,1.15803737660482E-13,3.2507440595208E-10,0.000830349576665983,-5.73411802201953E-13,0.000430625447065272,0,0,0,0,0,0,package://bi_urdf/meshes/rw_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://bi_urdf/meshes/rw_Link.STL,,rw.step-1,Origin_rw,Axis_rw,rw,continuous,0,-0.0286806801421281,-0.215,0,0,0,rd_Link,0,1,0,,,,,,,,,,,,
l_Link,-0.0207329652111608,-1.59210220986028E-06,-4.10163032142641E-07,0,0,0,0.2396903784926,0.000247893356543216,-5.58527939797662E-11,4.82079261318274E-11,0.000151212376497049,-5.65350791696242E-09,0.000146724776916184,0,0,0,0,0,0,package://bi_urdf/meshes/l_Link.STL,1,1,0,1,0,0,0,0,0,0,package://bi_urdf/meshes/l_Link.STL,,l.step-1,Origin_l,Axis_l,l,continuous,-0.0535148109842794,0.0562499999999701,-0.0547752717334901,0,0,0,base_link,1,0,0,,,,,,,,,,,,
ll_Link,0.0491371212474074,-0.000834721181945462,-1.22408484094783E-06,0,0,0,0.263180069791165,0.000163896635623648,-3.78576450283808E-07,1.23272705348799E-08,0.000303443472031958,3.85068182742042E-10,0.000195881663179996,0,0,0,0,0,0,package://bi_urdf/meshes/ll_Link.STL,0,1,0,1,0,0,0,0,0,0,package://bi_urdf/meshes/ll_Link.STL,,ll.step-1,Origin_ll,Axis_ll,ll,continuous,0,0,0,0,0,0,l_Link,1,0,0,,,,,,,,,,,,
lll_Link,3.28064271194672E-05,0.0372985278178581,6.56684669411017E-05,0,0,0,0.308173069875492,0.00023018634767004,1.93567331056313E-07,1.28510211926876E-06,0.000329638676606677,-1.41975807522184E-06,0.000242903696786444,0,0,0,0,0,0,package://bi_urdf/meshes/lll_Link.STL,0,1,1,1,0,0,0,0,0,0,package://bi_urdf/meshes/lll_Link.STL,,lll.step-1,Origin_lll,Axis_lll,lll,continuous,0.0532497748906447,0.0144424855132758,0,0,0,0,ll_Link,0,1,0,,,,,,,,,,,,
lu_Link,-4.65253072970353E-05,0.013166392400593,-0.066595078612745,0,0,0,0.129271489918228,0.000739905522521371,-9.62129212771149E-08,-4.71246334198166E-07,0.0007849602201412,1.33416790982064E-06,7.37957546010484E-05,0,0,0,0,0,0,package://bi_urdf/meshes/lu_Link.STL,0,0,1,1,0,0,0,0,0,0,package://bi_urdf/meshes/lu_Link.STL,,lu.step-1,Origin_lu,Axis_lu,lu,continuous,0,0.0577075781855487,0,0,0,0,lll_Link,0,1,0,,,,,,,,,,,,
ld_Link,2.36955146889783E-05,0.0211918221024851,-0.152757153737346,0,0,0,0.188645424104911,0.0012984293577577,3.18299184938984E-08,-6.29896331164024E-07,0.0013126360996477,7.87426357356837E-05,7.66545672538984E-05,0,0,0,0,0,0,package://bi_urdf/meshes/ld_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bi_urdf/meshes/ld_Link.STL,,ld.step-1,Origin_ld,Axis_ld,ld,continuous,0,0,-0.215,0,0,0,lu_Link,0,1,0,,,,,,,,,,,,
lw_Link,3.25314899801352E-10,0.0151977047766102,2.57619465759973E-08,0,0,0,0.263040916416253,0.000430628540110486,1.07605886048392E-13,-6.21402035793207E-10,0.000830345317646257,4.85438067557658E-13,0.00043062139528843,0,0,0,0,0,0,package://bi_urdf/meshes/lw_Link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://bi_urdf/meshes/lw_Link.STL,,lw.step-1,Origin_lw,Axis_lw,lw,continuous,0,0.0286806801421289,-0.215,0,0,0,ld_Link,0,1,0,,,,,,,,,,,,
